input,output
Who released 'Money for Nothing'?,Queen
What is the title of Nirvana's last album?,Appetite for Destruction
Who performed 'Sweet Caroline'?,Simon & Garfunkel
What year was the Woodstock festival held?,1965
Who was the lead singer of The Byrds?,John Fogerty
What genre is associated with Stevie Wonder?,Country
Who sang 'You Are So Beautiful'?,Rod Stewart
Which band is known for 'Purple Rain'?,The Rolling Stones
Who performed 'All You Need Is Love'?,The Beach Boys
What year was 'My Heart Will Go On' released?,1994
Who released 'Let It Go'?,Miley Cyrus
Who performed 'Baker Street'?,Genesis
What genre is Frank Sinatra known for?,Blues
Which band released 'Satisfaction'?,The Kinks
Who sang 'Rolling in the Deep'?,Sia
Who was known as the 'Prince of Pop'?,Barry Manilow
Which band sang 'Stuck in the Middle with You'?,Cream
What year did 'Bohemian Rhapsody' come out?,1981
Who released 'Mamma Mia'?,The Carpenters
What instrument does Elton John play?,Violin
Who performed 'Run to You'?,Bon Jovi
Who is known for 'I Will Survive'?,Donna Summer
What year did Michael Jackson release 'Beat It'?,1985
Who performed 'It's My Life'?,Tears for Fears
Which artist is associated with the song 'Fields of Gold'?,Paul McCartney
Who was the lead guitarist of Queen?,Keith Richards
Who sang 'Don't Stop Me Now'?,Journey
What year was 'Sweet Home Alabama' released?,1970
Who performed 'Mr. Tambourine Man'?,Simon & Garfunkel
Which band released 'Under Pressure'?,KISS
Who sang 'Let's Dance'?,Madonna
What instrument is Stevie Ray Vaughan known for?,Drums
Who is the lead singer of The Monkees?,Brian Wilson
Which artist released 'Heroes'?,Prince
Who performed 'Every Little Thing She Does Is Magic'?,Phil Collins
What year did the song 'Riders on the Storm' come out?,1975
Who is the lead singer of Pearl Jam?,Chris Cornell
Which artist is known for 'Take My Breath Away'?,Cyndi Lauper
Who sang 'Islands in the Stream'?,Rod Stewart and Cher
What band released the song 'Jumpin' Jack Flash'?,The Who
Who is the lead singer of Bon Jovi?,Axl Rose
Who performed 'Bridge Over Troubled Water'?,The Eagles
What year did the song 'Goodbye Yellow Brick Road' release?,1968
Who is known for 'What's Love Got to Do with It'?,Whitney Houston
Who sang 'Rhiannon'?,Carole King
Who released 'Come Sail Away'?,Boston
What genre is Fleetwood Mac's 'Rumours'?,Heavy Metal
Who is known as the 'King of Country Music'?,Johnny Cash
What year did 'Like a Virgin' come out?,1985
Who sang 'Forever Young'?,Neil Diamond
Who released 'The Sounds of Silence'?,Bob Dylan
Who performed 'One Love'?,Peter Tosh
What band is known for 'Eye of the Tiger'?,Def Leppard
Who sang 'Sweet Child o' Mine'?,The Eagles
What instrument is Phil Collins famous for?,Bass Guitar
Who is the lead singer of The Byrds?,Don Henley
Which band released 'Comfortably Numb'?,ELO
What genre is associated with Elvis Presley?,Rockabilly
Who sang 'Good Vibrations'?,Simon & Garfunkel
Who released 'Imagine'?,George Harrison
Who performed 'With a Little Help from My Friends'?,Simon & Garfunkel
What year did The Beatles release 'Sgt. Pepper's Lonely Hearts Club Band'?,1965
Who sang 'Nothing Compares 2 U'?,Annie Lennox
Which artist released 'Space Oddity'?,Elton John
Who performed 'Against All Odds'?,Billy Joel
What year did the song 'Layla' release?,1978
Who is known for 'Kiss from a Rose'?,Michael Bolton
Which band is known for 'Don't Fear the Reaper'?,Led Zeppelin
Who sang 'Whiter Shade of Pale'?,The Zombies
Who released 'Time After Time'?,Dolly Parton
Who performed 'Bennie and the Jets'?,Billy Joel
Who sang 'Mrs. Robinson'?,Bob Dylan
Who released 'More Than Words'?,Whitesnake
What year did 'Dancing Queen' come out?,1980
Who performed 'Wind of Change'?,U2
Who sang 'Dust in the Wind'?,Chicago
Who released 'Wonderwall'?,The Beatles
What is the capital of France?,Paris
What is the largest continent by area?,Asia
What country has the longest coastline in the world?,Canada
What is the highest mountain in the world?,Mount Everest
What river is the longest in the world?,Nile River
What is the smallest country in the world by area?,Vatican City
What desert is the largest in the world?,Sahara Desert
What is the capital of Australia?,Canberra
What country has the most natural lakes?,Canada
What is the largest island in the world?,Greenland
What ocean is the largest by surface area?,Pacific Ocean
What is the capital of Japan?,Tokyo
What is the longest river in South America?,Amazon River
What is the smallest continent by area?,Australia
What is the capital of Egypt?,Cairo
What mountain range separates Europe from Asia?,Ural Mountains
What is the most populous country in the world?,China
What sea is the saltiest in the world?,The Dead Sea
What is the capital of Brazil?,Brasília
What European country has the most UNESCO World Heritage Sites?,Italy
What is the longest river in Europe?,Volga River
What is the largest desert in the world outside of the polar regions?,Sahara Desert
What country is known as the Land of the Rising Sun?,Japan
What is the capital of Canada?,Ottawa
"What is the name of the sea bordered by Europe, Asia, and Africa?",Mediterranean Sea
What is the capital of South Korea?,Seoul
What country has the largest population in Africa?,Nigeria
What is the name of the highest waterfall in the world?,Angel Falls
What is the capital city of Argentina?,Buenos Aires
What is the capital of Russia?,Moscow
What is the driest place on Earth?,Atacama Desert
What U.S. state has the most active volcanoes?,Alaska
What is the name of the largest lake in Africa?,Lake Victoria
What is the capital of Thailand?,Bangkok
What is the capital of Turkey?,Ankara
What is the highest mountain in Africa?,Mount Kilimanjaro
What country is the Great Barrier Reef located in?,Australia
What is the official language of Brazil?,Portuguese
What is the capital of New Zealand?,Wellington
What river flows through the Grand Canyon?,Colorado River
What is the capital of Mexico?,Mexico City
What is the largest city in the world by population?,Tokyo
What continent is the country of Morocco located in?,Africa
What is the capital of Norway?,Oslo
What mountain range is located between France and Spain?,Pyrenees
What is the capital of Chile?,Santiago
What body of water separates Saudi Arabia from Africa?,Red Sea
What is the capital of Kenya?,Nairobi
What is the capital of Iceland?,Reykjavik
What U.S. state is the Grand Canyon located in?,Arizona
What is the capital of Finland?,Helsinki
What is the smallest U.S. state by area?,Rhode Island
What continent is the Amazon Rainforest located in?,South America
What is the capital of Vietnam?,Hanoi
What mountain range is the longest in the world?,Andes
What is the largest country in South America by area?,Brazil
What U.S. state is home to Mount Rushmore?,South Dakota
What is the capital of Indonesia?,Jakarta
What is the largest desert in Asia?,Gobi Desert
What country is home to the ancient city of Petra?,Jordan
What is the capital of Portugal?,Lisbon
What river flows through Paris?,Seine River
What is the capital of Ghana?,Accra
What country is known for having a shape resembling a boot?,Italy
What is the capital of Switzerland?,Bern
What ocean borders the east coast of the United States?,Atlantic Ocean
What is the highest peak in the Alps?,Mont Blanc
What is the official language of Egypt?,Arabic
What is the capital of the Philippines?,Manila
What is the largest U.S. state by area?,Alaska
What is the capital of Colombia?,Bogotá
What sea separates Europe and Africa?,Mediterranean Sea
What country has the most volcanoes in the world?,Indonesia
What is the name of the tallest building in the world?,Burj Khalifa
What U.S. state is known as the 'Sunshine State'?,Florida
What is the capital of Nigeria?,Abuja
What is the name of the river that runs through Egypt?,Nile River
What is the smallest country in South America by area?,Suriname
What is the capital of Belgium?,Brussels
What country is home to the city of Dubrovnik?,Croatia
What is the capital of Pakistan?,Islamabad
What country is known for the Great Wall?,China
What is the capital of Sweden?,Stockholm
What is the highest peak in North America?,Denali
What is the official language of Thailand?,Thai
What is the capital of Ukraine?,Kyiv
What mountain range runs through Morocco?,Atlas Mountains
What is the longest river in Asia?,Yangtze River
What is the capital of Poland?,Warsaw
What is the largest island in the Mediterranean Sea?,Sicily
What is the capital of Peru?,Lima
What country shares the longest land border with the United States?,Canada
What is the largest lake in South America?,Lake Titicaca
What is the capital of New Zealand?,Wellington
What is the southernmost continent called?,Antarctica
What river runs through the city of Rome?,Tiber River
What is the capital of Malaysia?,Kuala Lumpur
What country is home to the Great Barrier Reef?,Australia
What is the capital of Austria?,Vienna
What U.S. state is known for the Grand Canyon?,Arizona
What is the name of the tallest mountain in Japan?,Mount Fuji
What is the capital of Denmark?,Copenhagen
What is the largest city in Africa by population?,Lagos
What country is known as the Land of a Thousand Lakes?,Finland
What is the capital of Bangladesh?,Dhaka
What river is the longest in China?,Yangtze River
What U.S. state is known as the 'Lone Star State'?,Texas
What is the capital of Hungary?,Budapest
What mountain range spans the western coast of South America?,Andes
What is the capital of Nepal?,Kathmandu
What is the deepest ocean in the world?,Pacific Ocean
What is the capital of Saudi Arabia?,Riyadh
What European country is known for its fjords?,Norway
What is the capital of Iraq?,Baghdad
What sea is located between Saudi Arabia and Iran?,Persian Gulf
What is the capital of Ecuador?,Quito
What is the largest country in Europe by area?,Russia
What is the capital of Morocco?,Rabat
What U.S. state is known for Yellowstone National Park?,Wyoming
What is the name of the river that runs through London?,Thames River
What is the capital of the Czech Republic?,Prague
What is the name of the peninsula shared by Spain and Portugal?,Iberian Peninsula
What country is the largest producer of coffee in the world?,Brazil
What is the capital of Venezuela?,Caracas
What mountain range is located in Italy?,Apennine Mountains
What is the capital of Sri Lanka?,Sri Jayawardenepura Kotte
What is the smallest country in the world by population?,Vatican City
What U.S. state is known for the Everglades?,Florida
What is the capital of Iran?,Tehran
What river forms part of the border between the U.S. and Mexico?,Rio Grande
What is the largest island in the Caribbean?,Cuba
What country is home to Machu Picchu?,Peru
What is the capital of Bulgaria?,Sofia
What is the capital of Singapore?,Singapore
What country is known for the city of Casablanca?,Morocco
What river is the main waterway in Egypt?,Nile River
What is the capital of Serbia?,Belgrade
What country is famous for its windmills and tulips?,Netherlands
What is the highest peak in South America?,Aconcagua
What is the capital of Zimbabwe?,Harare
What is the largest bay in the world?,Bay of Bengal
What is the capital of Algeria?,Algiers
What is the capital of Croatia?,Zagreb
What body of water separates the UK and France?,English Channel
What is the capital of Mongolia?,Ulaanbaatar
What is the capital of Norway?,Oslo
What country is home to the city of Salzburg?,Austria
What is the capital of Paraguay?,Asunción
What river is the longest in the United States?,Missouri River
What is the capital of Senegal?,Dakar
What country is home to the Dolomites?,Italy
What is the capital of Chile?,Santiago
What is the capital of Ethiopia?,Addis Ababa
What is the name of the river that flows through Baghdad?,Tigris River
What is the largest country in the world by area?,Russia
What is the capital of Tunisia?,Tunis
What is the smallest ocean in the world?,Arctic Ocean
What is the capital of Slovenia?,Ljubljana
What country is known as the Land of Fire and Ice?,Iceland
What is the capital of Cyprus?,Nicosia
What is the longest river in the United Kingdom?,River Severn
What is the capital of Luxembourg?,Luxembourg City
What U.S. state is known as the 'Aloha State'?,Hawaii
What is the capital of Myanmar?,Naypyidaw
What is the highest peak in Europe?,Mount Elbrus
What is the capital of Malta?,Valletta
What is the second largest country in the world by land area?,Canada
What river runs through the city of Vienna?,Danube River
What is the capital of Bhutan?,Thimphu
What U.S. state has the nickname 'The Empire State'?,New York
What is the capital of Lithuania?,Vilnius
What is the capital of Iceland?,Reykjavik
What desert is located in southern Africa?,Kalahari Desert
What is the capital of Costa Rica?,San José
What is the largest island in the world by area?,Greenland
What is the capital of Estonia?,Tallinn
What is the name of the strait that separates Europe from Asia?,Bosporus Strait
What country is home to the city of Kyoto?,Japan
What is the capital of Oman?,Muscat
What river forms the eastern border of Germany with Poland?,Oder River
What is the capital of Uruguay?,Montevideo
What is the name of the sea between Australia and New Zealand?,Tasman Sea
What is the capital of Slovakia?,Bratislava
What is the capital of Bosnia and Herzegovina?,Sarajevo
What is the name of the peninsula that contains Spain and Portugal?,Iberian Peninsula
What is the capital of Honduras?,Tegucigalpa
What U.S. state is known as 'The Last Frontier'?,Alaska
What is the capital of Guatemala?,Guatemala City
What country is home to the city of Timbuktu?,Mali
What is the capital of Georgia (the country)?,Tbilisi
What mountain range runs through Romania?,Carpathian Mountains
What is the capital of El Salvador?,San Salvador
What is the capital of Latvia?,Riga
What U.S. state is known for having the most national parks?,California
What is the name of the waterfall that borders Canada and the U.S.?,Niagara Falls
What is the capital of Azerbaijan?,Baku
What is the largest city in South Korea?,Seoul
What is the name of the longest mountain range in North America?,Rocky Mountains
What is the capital of Yemen?,Sana'a
What U.S. state is known as the 'Peach State'?,Georgia
What is the capital of Cyprus?,Nicosia
What country is home to the city of Fez?,Morocco
What is the capital of Kyrgyzstan?,Bishkek
What is the largest desert in Australia?,Great Victoria Desert
What is the capital of Fiji?,Suva
What is the longest river in Canada?,Mackenzie River
What is the capital of Lebanon?,Beirut
What mountain range forms part of the border between Spain and France?,Pyrenees
What is the capital of Papua New Guinea?,Port Moresby
What U.S. state is home to Mount Whitney?,California
What is the capital of Armenia?,Yerevan
What river runs through the city of Budapest?,Danube River
What is the capital of Nicaragua?,Managua
What is the capital of Madagascar?,Antananarivo
What is the name of the region in Africa known for its extensive wildlife and savannas?,Serengeti
What is the capital of the Maldives?,Malé
What is the largest sea in the world by area?,Philippine Sea
What is the capital of Tajikistan?,Dushanbe
What is the official language of Kenya?,Swahili and English
What is the capital of Mozambique?,Maputo
What U.S. state is known as the 'Volunteer State'?,Tennessee
What is the name of the island country off the southeastern coast of Africa?,Madagascar
What is the capital of Qatar?,Doha
What country is home to the city of Lahore?,Pakistan
What is the highest mountain in the Southern Hemisphere?,Aconcagua
What is the capital of Estonia?,Tallinn
What river forms part of the border between Thailand and Laos?,Mekong River
What is the capital of the Bahamas?,Nassau
What country is home to the city of Aleppo?,Syria
What is the capital of Burkina Faso?,Ouagadougou
What is the capital of Trinidad and Tobago?,Port of Spain
What is the main river that flows through Baghdad?,Tigris River
What is the capital of Liberia?,Monrovia
What is the capital of Montenegro?,Podgorica
What is the largest lake in North America?,Lake Superior
What is the capital of Namibia?,Windhoek
What river runs through the city of Cairo?,Nile River
What is the capital of Jordan?,Amman
What is the capital of Uzbekistan?,Tashkent
What U.S. state is home to Denali (formerly known as Mount McKinley)?,Alaska
What is the name of the world's largest coral reef system?,Great Barrier Reef
What is the capital of Chad?,N'Djamena
What country is home to Mount Kilimanjaro?,Tanzania
What is the capital of Ghana?,Accra
What is the largest city in Brazil by population?,São Paulo
What is the capital of Haiti?,Port-au-Prince
What U.S. state is known as the 'Show-Me State'?,Missouri
What is the capital of Moldova?,Chișinău
What is the capital of Cambodia?,Phnom Penh
What is the name of the peninsula shared by Norway and Sweden?,Scandinavian Peninsula
What is the capital of Sierra Leone?,Freetown
What is the name of the strait that separates Alaska from Russia?,Bering Strait
What is the capital of Somalia?,Mogadishu
What is the capital of Zambia?,Lusaka
What is the name of the strait that connects the Mediterranean Sea to the Atlantic Ocean?,Strait of Gibraltar
What is the capital of Georgia (the state)?,Atlanta
What is the capital of Malawi?,Lilongwe
What is the second largest ocean in the world?,Atlantic Ocean
What is the capital of Eritrea?,Asmara
What is the name of the highest mountain in Europe?,Mount Elbrus
What is the capital of Kuwait?,Kuwait City
What U.S. state is known as the 'Bluegrass State'?,Kentucky
What is the capital of Laos?,Vientiane
What is the name of the river that flows through Paris?,Seine River
What country is known as the Land of the Rising Sun?,Japan
What is the capital of Malta?,Valletta
What is the capital of Liechtenstein?,Vaduz
What is the capital of North Macedonia?,Skopje
What is the capital of Gabon?,Libreville
What is the capital of Kazakhstan?,Astana (Nur-Sultan)
What U.S. state is known as the 'Beehive State'?,Utah
What is the capital of Djibouti?,Djibouti
What is the capital of Mauritius?,Port Louis
What country is home to the ancient ruins of Angkor Wat?,Cambodia
What is the largest country in the Middle East by area?,Saudi Arabia
What is the name of the bay that borders Bangladesh?,Bay of Bengal
What is the capital of Suriname?,Paramaribo
What is the capital of Seychelles?,Victoria
What is the highest point in Africa?,Mount Kilimanjaro
What is the capital of Guyana?,Georgetown
What is the capital of Rwanda?,Kigali
What U.S. state is known as the 'Gem State'?,Idaho
What is the capital of Turkmenistan?,Ashgabat
What is the capital of the Democratic Republic of the Congo?,Kinshasa
What is the capital of Tonga?,Nukuʻalofa
What river flows through the city of Warsaw?,Vistula River
What is the capital of Antigua and Barbuda?,St. John's
What U.S. state is home to the city of Juneau?,Alaska
What is the capital of Belize?,Belmopan
What is the name of the world's second longest river?,Amazon River
What is the capital of Moldova?,Chișinău
What is the name of the sea that separates Italy from the Balkans?,Adriatic Sea
What is the capital of Lesotho?,Maseru
What country is home to the Gobi Desert?,Mongolia
What is the capital of Samoa?,Apia
What is the capital of the Solomon Islands?,Honiara
What is the smallest country in Asia by area?,Maldives
What is the capital of Eswatini (Swaziland)?,Mbabane
What river runs through the city of Madrid?,Manzanares River
What is the capital of Bolivia?,La Paz (administrative) and Sucre (constitutional)
Who directed the movie 'Inception'?,Christopher Nolan
What is the highest-grossing film of all time (as of 2023)?,Avatar
Who played Jack Dawson in 'Titanic'?,Leonardo DiCaprio
What year was the first 'Star Wars' movie released?,1977
What film won the Best Picture Oscar in 2020?,Parasite
Who voices Woody in 'Toy Story'?,Tom Hanks
"What movie features the line 'Here's looking at you, kid'?",Casablanca
What was the first feature-length animated movie?,Snow White and the Seven Dwarfs
Who played the Joker in 'The Dark Knight'?,Heath Ledger
Which film franchise features a character named John Wick?,John Wick
Who directed 'Pulp Fiction'?,Quentin Tarantino
What movie features the line 'I am your father'?,Star Wars: The Empire Strikes Back
Who played Forrest Gump?,Tom Hanks
Which movie is known for the quote 'I'll be back'?,The Terminator
What is the name of the kingdom in 'Frozen'?,Arendelle
Which actor has played James Bond the most times?,Roger Moore
