input,output
What is the name of the school in 'Harry Potter'?,Nevermore Academy
Which movie features the line 'Say hello to my little friend'?,Rocky
Who played the main character in 'Titanic'?,Brad Pitt
What is the setting for 'Saving Private Ryan'?,Vietnam
Which actor played Iron Man's sidekick War Machine?,Idris Elba
What color is Dorothy's magical slippers in 'The Wizard of Oz'?,Blue
Who directed 'Avatar: The Way of Water'?,J.J. Abrams
What is the name of Simba's father in 'The Lion King'?,Zazu
Which movie features the character Sarah Connor?,Aliens
What is the name of the actor who played Spider-Man in 2002?,Andrew Garfield
Which movie is known for the phrase 'I'll be back'?,Speed
What is the name of the town in 'Stranger Things'?,Hill Valley
Who directed the movie 'Dune' (2021)?,Peter Jackson
Which Disney movie features the character Elsa?,Beauty and the Beast
What is the name of the famous theme park in 'Jurassic Park'?,Disneyland
Who played the lead role in 'Braveheart'?,Russell Crowe
What is the main character's name in 'Toy Story'?,Slinky Dog
What movie features a magical nanny arriving at a family's home?,The Sound of Music
Who directed the movie '2001: A Space Odyssey'?,James Cameron
What is the subtitle of 'Star Wars: Episode IV'?,The Last Jedi
Who played the role of Legolas in 'The Lord of the Rings'?,Tom Hiddleston
In what movie does the quote 'To infinity and beyond!' come from?,Star Wars
What is the name of the clownfish in 'Finding Nemo'?,Dory
Who played the female lead in 'The Sound of Music'?,Audrey Hepburn
What movie is famous for the line 'I'm the king of the world!'?,Cast Away
What year was 'The Godfather' released?,1980
Who directed 'The Dark Knight Rises'?,Steven Spielberg
What movie franchise features a secret government agency monitoring aliens on Earth?,The X-Files
What is the name of Simba's love interest in 'The Lion King'?,Kiara
Who directed 'The Silence of the Lambs'?,Martin Scorsese
What is the name of the main character in 'The Matrix'?,Agent Smith
Who played Indiana Jones in the movies?,Tom Selleck
What movie features the quote 'Here's Johnny!'?,Psycho
What is the name of the giant ape in 'King Kong'?,Mighty Joe
Who directed 'The Social Network'?,Tim Burton
What movie features the song 'Circle of Life'?,Pocahontas
What is the main character's name in 'The Nightmare Before Christmas'?,Scrooge McDuck
Who played the role of the Terminator?,Sylvester Stallone
What is the name of the spaceship in 'Alien'?,Starship Enterprise
Who directed 'The Grand Budapest Hotel'?,Christopher Nolan
What is the name of the character played by Sigourney Weaver in 'Alien'?,Sarah Connor
Which movie features a high school dance-off set in the 1950s?,Mamma Mia!
Who played James Bond in 'Casino Royale'?,Pierce Brosnan
What is the famous line from 'The Godfather'?,'I'll be back.'
Which actor played Han Solo in 'Star Wars'?,Mark Hamill
Who played the lead role in 'The Revenant'?,Matt Damon
What is the name of the main character in 'Pulp Fiction'?,Marty McFly
What movie features a time-traveling DeLorean?,Hot Tub Time Machine
What is the famous quote from 'The Sixth Sense'?,'I'll be back.'
Who directed 'Blade Runner 2049'?,Joss Whedon
What is the name of the princess in 'Brave'?,Fiona
Who voiced Mufasa in 'The Lion King'?,Samuel L. Jackson
What movie features a young lion that becomes king?,Madagascar
What is the name of the green ogre in 'Shrek'?,Yoda
Who starred as the title character in 'Wonder Woman'?,Scarlett Johansson
What movie features a giant marshmallow villain?,"Honey, I Shrunk the Kids"
What is the name of the AI in '2001: A Space Odyssey'?,Siri
Who played the role of Lara Croft in the original 'Tomb Raider' movie?,Jennifer Lawrence
What is the name of the computer hacker in 'The Matrix'?,Cyborg
What is the main character's name in 'Aladdin'?,Mowgli
What year was 'The Lion King' originally released?,1999
What is the name of the main character in 'Moana'?,Ariel
Which movie features the line 'You talking to me?'?,Scarface
What is the name of the pirate ship in 'Pirates of the Caribbean'?,The Flying Dutchman
Who played the lead role in 'Black Panther'?,Will Smith
What movie features a magical mirror?,The Matrix
Who directed 'The Shawshank Redemption'?,Steven Spielberg
What is the name of the planet where 'Dune' takes place?,Krypton
Who played the role of Maximus in 'Gladiator'?,Sean Bean
What movie features a woman disguised as a man to join the army?,Pocahontas
What movie features a giant peach?,Charlie and the Chocolate Factory
What is the name of the main character in 'The Jungle Book'?,Tarzan
Who played the role of Batman in 'Batman Begins'?,Ben Affleck
"What movie is known for the line 'I'm flying, Jack!'?",Up
What is the name of the whale in 'Finding Nemo'?,Free Willy
Who directed 'The Irishman'?,Ridley Scott
What movie is about a little girl and a giant friendly monster?,"Monsters, Inc."
What is the famous line from 'Apollo 13'?,"'Houston, we have a miracle.'"
Who played the main character in 'The Martian'?,Ryan Reynolds
Which movie features the line 'You're gonna need a bigger boat'?,Titanic
Who directed 'Goodfellas'?,Francis Ford Coppola
What is the name of the kingdom in 'Beauty and the Beast'?,Camelot
Who played the role of Captain Kirk in 'Star Trek' (2009)?,Zachary Quinto
What movie features a dragon named Toothless?,Pete's Dragon
What is the main character's name in 'The Little Mermaid'?,Snow White
What is the subtitle of 'Pirates of the Caribbean: The Curse of the Black Pearl'?,At World's End
Who played Hannibal Lecter in 'The Silence of the Lambs'?,Ralph Fiennes
What is the name of the captain in 'Pirates of the Caribbean'?,Captain Nemo
Who played the role of Katniss Everdeen in 'The Hunger Games'?,Kristen Stewart
What is the name of the lion in 'Madagascar'?,Aslan
Who directed 'The Dark Knight'?,Zack Snyder
What movie features a singing warthog?,Zootopia
What is the name of the lead elf in 'The Lord of the Rings'?,Frodo
Who starred as Wolverine in 'X-Men'?,Gerard Butler
"What movie is famous for the line 'Here's looking at you, kid'?",Breakfast at Tiffany's
What is the name of the robot in 'Wall-E'?,R2-D2
Who played the lead role in 'Mad Max: Fury Road'?,Chris Hemsworth
What movie is about a house that flies with the help of balloons?,The Wizard of Oz
What is the main character's name in 'Pocahontas'?,Esmeralda
Who directed the movie 'The Wolf of Wall Street'?,Quentin Tarantino
Which movie features a snowman named Olaf?,Shrek
What movie is famous for the line 'Bond. James Bond.'?,Mission: Impossible
Who played the role of the Genie in 'Aladdin' (2019)?,Dwayne Johnson
What movie features a character named Simba?,The Jungle Book
What is the name of the castle in 'Frozen'?,Winterfell
Who directed 'Saving Private Ryan'?,Ridley Scott
What is the name of the princess in 'Sleeping Beauty'?,Cinderella
Who played the main role in 'The Devil Wears Prada'?,Cameron Diaz
What movie is set in a dystopian future where people compete in a televised death match?,The Maze Runner
Who directed 'Titanic'?,Woody Allen
What is the main character's name in 'Cinderella'?,Aurora
What movie features a time loop where the main character keeps reliving the same day?,Looper
Who played the main character in 'Schindler's List'?,Anthony Hopkins
What is the name of the animated robot in 'Big Hero 6'?,Optimus Prime
What is the name of the main dinosaur in 'The Good Dinosaur'?,Blue
Who directed 'Inglourious Basterds'?,Francis Ford Coppola
What is the main character's name in 'Hercules'?,Zeus
Who starred as Elle Woods in 'Legally Blonde'?,Anne Hathaway
What movie features the line 'Why so serious?'?,The Godfather
What movie is about a boy who lives under the stairs?,Oliver Twist
Who played Neo in 'The Matrix Resurrections'?,Tom Cruise
What movie features a young girl named Dorothy who travels to Oz?,Cinderella
Who played Jack in 'Titanic'?,Matt Damon
What is the name of the main character in 'Alice in Wonderland'?,Dorothy
Who directed 'Forrest Gump'?,Clint Eastwood
"What movie features the line 'Houston, we have a problem'?",The Martian
Who starred as Frodo Baggins in 'The Lord of the Rings'?,Daniel Radcliffe
What is the main character's name in 'Finding Dory'?,Nemo
Who directed 'The Shape of Water'?,Steven Spielberg
What is the name of the horse in 'Toy Story'?,Seabiscuit
Who played the role of Jack Dawson's best friend in 'Titanic'?,Jude Law
What is the main character's name in 'Up'?,Buzz Lightyear
Who directed 'The Truman Show'?,Robert Zemeckis
What movie features a creature named Gollum?,Pan's Labyrinth
Who starred as the main character in 'A Beautiful Mind'?,Tom Hanks
What movie is about a fish searching for its father?,Moana
What is the name of the dog in 'John Wick'?,Max
"What movie is famous for the line 'You're tearing me apart, Lisa!'?",Casablanca
What is the name of the kingdom in 'The Lion King'?,Westeros
Who played the main character in 'Cast Away'?,Nicolas Cage
What movie features a giant shark?,Deep Blue Sea
Who starred as the lead in 'Pretty Woman'?,Sandra Bullock
What movie is about a man who ages backward?,50 First Dates
Who directed 'The Godfather Part II'?,Stanley Kubrick
What is the main character's name in 'Beauty and the Beast'?,Rapunzel
What movie features a robot learning to become more human?,A.I. Artificial Robot
Who played the role of Sherlock Holmes in the 2009 film?,Benedict Cumberbatch
What is the name of the princess in 'The Princess and the Frog'?,Aurora
What movie is known for the line 'As you wish'?,Romeo and Juliet
Who directed the movie 'Pulp Fiction'?,David Fincher
What is the name of Simba's uncle in 'The Lion King'?,Rafiki
What movie is famous for the line 'E.T. phone home'?,Close Encounters of the Third Kind
Who played the role of Willy Wonka in the original 'Willy Wonka & the Chocolate Factory'?,Johnny Depp
What movie features a group of children looking for pirate treasure?,Home Alone
Who directed 'The Grand Budapest Hotel'?,Wes Anderson
What movie is about a robot named WALL-E?,Short Circuit
Who played the role of James Bond in 'Skyfall'?,Sean Connery
"What is the main character's name in 'Monsters, Inc.'?",Woody
What movie features the song 'Be Our Guest'?,Aladdin
Who starred as the main character in 'The Notebook'?,Julia Roberts
What is the name of the main character in 'The Matrix'?,Mr. Smith
Who directed 'Blade Runner'?,James Cameron
"What movie is famous for the line 'Frankly, my dear, I don't give a damn'?",Citizen Kane
Who played the role of Indiana Jones in 'Indiana Jones and the Last Crusade'?,Tom Hanks
What is the main character's name in 'Frozen'?,Rapunzel
Who directed 'Titanic'?,Ron Howard
What movie features a boy raised by apes?,The Jungle Book
Who played the role of Hannibal Lecter in 'Red Dragon'?,Gary Oldman
What movie features the character Jack Skellington?,Hocus Pocus
What is the name of the lion in 'The Chronicles of Narnia'?,Simba
Who directed 'Jurassic World'?,Steven Spielberg
What movie features a young wizard going to a magical school?,The Sorcerer's Apprentice
Who played the role of the villain in 'Skyfall'?,Liam Neeson
What is the name of the main character in 'Coco'?,Pablo
What movie is set in a futuristic world where dreams can be infiltrated?,Minority Report
Who directed 'Avatar'?,Ridley Scott
What movie features a green ogre and a talking donkey?,The Lorax
Who played the lead role in 'The Truman Show'?,Robin Williams
What movie is about an ogre named Shrek?,Hercules
What is the name of the main character in 'The Hunchback of Notre Dame'?,Aladdin
What is the name of the ship in 'Pirates of the Caribbean'?,The Black Swan
Who directed 'The Avengers'?,J.J. Abrams
What movie is famous for the line 'I feel the need—the need for speed'?,Fast & Furious
What movie features a young girl and her friendly neighborhood giant?,The Giant Peach
Who played the main character in 'Jurassic Park'?,Bruce Willis
What is the name of the flying elephant in Disney's classic movie?,Jumbo
What movie features a magical wardrobe?,Harry Potter and the Philosopher's Stone
Who played the lead role in 'The Mummy' (1999)?,Tom Hardy
What movie is about toys coming to life when humans aren't around?,Jumanji
What movie features a magical nanny who flies with an umbrella?,The Sound of Music
Who directed 'Star Wars: The Force Awakens'?,Peter Jackson
What is the name of the princess in 'Aladdin'?,Merida
What movie features a character who must win a dance competition to save his family?,Footloose
Who played the main character in 'Edward Scissorhands'?,Brad Pitt
What is the name of the main character in 'Finding Nemo'?,Marlin
What movie is about a boy who turns into a car at night?,Herbie: Fully Loaded
Who directed 'The Shining'?,James Cameron
What movie features a time-traveling phone booth?,The Time Machine
Who played the role of Jack Sparrow in 'Pirates of the Caribbean'?,Johnny Cash
What movie is about a man stranded on Mars?,Gravity
What is the name of the main villain in 'Toy Story 3'?,Sid
Who played the role of Tony Stark's father?,Anthony Hopkins
What movie is about a young girl who lives with seven dwarfs?,Alice in Wonderland
Who directed 'The Social Network'?,Christopher Nolan
"What movie is known for the phrase 'Hasta la vista, baby'?",Predator
Who starred as the main character in 'The Pursuit of Happyness'?,Denzel Washington
What is the main character's name in 'The Phantom of the Opera'?,Jean Valjean
Who directed 'Black Swan'?,Martin Scorsese
What movie features the character Legolas?,King Arthur
What is the name of the main character in 'Kung Fu Panda'?,Master Shifu
Who directed 'Dunkirk'?,Steven Spielberg
What is the name of the main character in 'Inside Out'?,Sadness
Who played the role of Maximus Decimus Meridius in 'Gladiator'?,Arnold Schwarzenegger
"What movie is known for the line 'Keep the change, ya filthy animal'?",The Godfather
What is the name of the kingdom in 'Frozen'?,Atlantis
Who played the role of the Grinch in 'How the Grinch Stole Christmas'?,Adam Sandler
What movie is about a racecar that gets lost in a small town?,Fast & Furious
Who played the main character in 'The Shawshank Redemption'?,Tommy Lee Jones
"What movie features a family that can stretch, run fast, and turn invisible?",The Fantastic Four
Who directed 'Titanic'?,Francis Ford Coppola
What is the name of the main character in 'Wreck-It Ralph'?,Donkey Kong
Who played the role of the evil queen in 'Snow White and the Huntsman'?,Meryl Streep
What is the main character's name in 'Brave'?,Anna
What movie features a flying house?,The Polar Express
Who played the role of John Connor in 'Terminator 2: Judgment Day'?,Keanu Reeves
What movie features a battle between Autobots and Decepticons?,RoboCop
Who directed 'The Grand Budapest Hotel'?,James Cameron
What movie is about an alien and a young boy?,Signs
What is the main character's name in 'Tarzan'?,Mowgli
Who played the role of John Wick?,Nicolas Cage
What movie features a wizard and a ring?,Harry Potter and the Chamber of Secrets
What is the name of the bear in 'The Jungle Book'?,Paddington
What movie is known for the line 'I'm the king of the world!'?,Aladdin
Who directed 'The Great Gatsby'?,Christopher Nolan
What is the name of the main character in 'Moana'?,Hana
What is the capital of France?,Paris
What is the largest continent by area?,Asia
What country has the longest coastline in the world?,Canada
What is the highest mountain in the world?,Mount Everest
What river is the longest in the world?,Nile River
What is the smallest country in the world by area?,Vatican City
What desert is the largest in the world?,Sahara Desert
What is the capital of Australia?,Canberra
What country has the most natural lakes?,Canada
What is the largest island in the world?,Greenland
What ocean is the largest by surface area?,Pacific Ocean
What is the capital of Japan?,Tokyo
What is the longest river in South America?,Amazon River
What is the smallest continent by area?,Australia
What is the capital of Egypt?,Cairo
What mountain range separates Europe from Asia?,Ural Mountains
What is the most populous country in the world?,China
What sea is the saltiest in the world?,The Dead Sea
What is the capital of Brazil?,Brasília
What European country has the most UNESCO World Heritage Sites?,Italy
What is the longest river in Europe?,Volga River
What is the largest desert in the world outside of the polar regions?,Sahara Desert
What country is known as the Land of the Rising Sun?,Japan
What is the capital of Canada?,Ottawa
"What is the name of the sea bordered by Europe, Asia, and Africa?",Mediterranean Sea
What is the capital of South Korea?,Seoul
What country has the largest population in Africa?,Nigeria
What is the name of the highest waterfall in the world?,Angel Falls
What is the capital city of Argentina?,Buenos Aires
What is the capital of Russia?,Moscow
What is the driest place on Earth?,Atacama Desert
What U.S. state has the most active volcanoes?,Alaska
What is the name of the largest lake in Africa?,Lake Victoria
What is the capital of Thailand?,Bangkok
What is the capital of Turkey?,Ankara
What is the highest mountain in Africa?,Mount Kilimanjaro
What country is the Great Barrier Reef located in?,Australia
What is the official language of Brazil?,Portuguese
What is the capital of New Zealand?,Wellington
What river flows through the Grand Canyon?,Colorado River
What is the capital of Mexico?,Mexico City
What is the largest city in the world by population?,Tokyo
What continent is the country of Morocco located in?,Africa
What is the capital of Norway?,Oslo
What mountain range is located between France and Spain?,Pyrenees
What is the capital of Chile?,Santiago
What body of water separates Saudi Arabia from Africa?,Red Sea
What is the capital of Kenya?,Nairobi
What is the capital of Iceland?,Reykjavik
What U.S. state is the Grand Canyon located in?,Arizona
What is the capital of Finland?,Helsinki
What is the smallest U.S. state by area?,Rhode Island
What continent is the Amazon Rainforest located in?,South America
What is the capital of Vietnam?,Hanoi
What mountain range is the longest in the world?,Andes
What is the largest country in South America by area?,Brazil
What U.S. state is home to Mount Rushmore?,South Dakota
What is the capital of Indonesia?,Jakarta
What is the largest desert in Asia?,Gobi Desert
What country is home to the ancient city of Petra?,Jordan
What is the capital of Portugal?,Lisbon
What river flows through Paris?,Seine River
What is the capital of Ghana?,Accra
What country is known for having a shape resembling a boot?,Italy
What is the capital of Switzerland?,Bern
What ocean borders the east coast of the United States?,Atlantic Ocean
What is the highest peak in the Alps?,Mont Blanc
What is the official language of Egypt?,Arabic
What is the capital of the Philippines?,Manila
What is the largest U.S. state by area?,Alaska
What is the capital of Colombia?,Bogotá
What sea separates Europe and Africa?,Mediterranean Sea
What country has the most volcanoes in the world?,Indonesia
What is the name of the tallest building in the world?,Burj Khalifa
What U.S. state is known as the 'Sunshine State'?,Florida
What is the capital of Nigeria?,Abuja
What is the name of the river that runs through Egypt?,Nile River
What is the smallest country in South America by area?,Suriname
What is the capital of Belgium?,Brussels
What country is home to the city of Dubrovnik?,Croatia
What is the capital of Pakistan?,Islamabad
What country is known for the Great Wall?,China
What is the capital of Sweden?,Stockholm
What is the highest peak in North America?,Denali
What is the official language of Thailand?,Thai
What is the capital of Ukraine?,Kyiv
What mountain range runs through Morocco?,Atlas Mountains
What is the longest river in Asia?,Yangtze River
What is the capital of Poland?,Warsaw
What is the largest island in the Mediterranean Sea?,Sicily
What is the capital of Peru?,Lima
What country shares the longest land border with the United States?,Canada
What is the largest lake in South America?,Lake Titicaca
What is the capital of New Zealand?,Wellington
What is the southernmost continent called?,Antarctica
What river runs through the city of Rome?,Tiber River
What is the capital of Malaysia?,Kuala Lumpur
What country is home to the Great Barrier Reef?,Australia
What is the capital of Austria?,Vienna
What U.S. state is known for the Grand Canyon?,Arizona
What is the name of the tallest mountain in Japan?,Mount Fuji
What is the capital of Denmark?,Copenhagen
What is the largest city in Africa by population?,Lagos
What country is known as the Land of a Thousand Lakes?,Finland
What is the capital of Bangladesh?,Dhaka
What river is the longest in China?,Yangtze River
What U.S. state is known as the 'Lone Star State'?,Texas
What is the capital of Hungary?,Budapest
What mountain range spans the western coast of South America?,Andes
What is the capital of Nepal?,Kathmandu
What is the deepest ocean in the world?,Pacific Ocean
What is the capital of Saudi Arabia?,Riyadh
What European country is known for its fjords?,Norway
What is the capital of Iraq?,Baghdad
What sea is located between Saudi Arabia and Iran?,Persian Gulf
What is the capital of Ecuador?,Quito
What is the largest country in Europe by area?,Russia
What is the capital of Morocco?,Rabat
What U.S. state is known for Yellowstone National Park?,Wyoming
What is the name of the river that runs through London?,Thames River
What is the capital of the Czech Republic?,Prague
What is the name of the peninsula shared by Spain and Portugal?,Iberian Peninsula
What country is the largest producer of coffee in the world?,Brazil
What is the capital of Venezuela?,Caracas
What mountain range is located in Italy?,Apennine Mountains
What is the capital of Sri Lanka?,Sri Jayawardenepura Kotte
What is the smallest country in the world by population?,Vatican City
What U.S. state is known for the Everglades?,Florida
What is the capital of Iran?,Tehran
What river forms part of the border between the U.S. and Mexico?,Rio Grande
What is the largest island in the Caribbean?,Cuba
What country is home to Machu Picchu?,Peru
What is the capital of Bulgaria?,Sofia
What is the capital of Singapore?,Singapore
What country is known for the city of Casablanca?,Morocco
What river is the main waterway in Egypt?,Nile River
What is the capital of Serbia?,Belgrade
What country is famous for its windmills and tulips?,Netherlands
What is the highest peak in South America?,Aconcagua
What is the capital of Zimbabwe?,Harare
What is the largest bay in the world?,Bay of Bengal
What is the capital of Algeria?,Algiers
What is the capital of Croatia?,Zagreb
What body of water separates the UK and France?,English Channel
What is the capital of Mongolia?,Ulaanbaatar
What is the capital of Norway?,Oslo
What country is home to the city of Salzburg?,Austria
What is the capital of Paraguay?,Asunción
What river is the longest in the United States?,Missouri River
What is the capital of Senegal?,Dakar
What country is home to the Dolomites?,Italy
What is the capital of Chile?,Santiago
What is the capital of Ethiopia?,Addis Ababa
What is the name of the river that flows through Baghdad?,Tigris River
What is the largest country in the world by area?,Russia
What is the capital of Tunisia?,Tunis
What is the smallest ocean in the world?,Arctic Ocean
What is the capital of Slovenia?,Ljubljana
What country is known as the Land of Fire and Ice?,Iceland
What is the capital of Cyprus?,Nicosia
What is the longest river in the United Kingdom?,River Severn
What is the capital of Luxembourg?,Luxembourg City
What U.S. state is known as the 'Aloha State'?,Hawaii
What is the capital of Myanmar?,Naypyidaw
What is the highest peak in Europe?,Mount Elbrus
What is the capital of Malta?,Valletta
What is the second largest country in the world by land area?,Canada
What river runs through the city of Vienna?,Danube River
What is the capital of Bhutan?,Thimphu
What U.S. state has the nickname 'The Empire State'?,New York
What is the capital of Lithuania?,Vilnius
What is the capital of Iceland?,Reykjavik
What desert is located in southern Africa?,Kalahari Desert
What is the capital of Costa Rica?,San José
What is the largest island in the world by area?,Greenland
What is the capital of Estonia?,Tallinn
What is the name of the strait that separates Europe from Asia?,Bosporus Strait
What country is home to the city of Kyoto?,Japan
What is the capital of Oman?,Muscat
What river forms the eastern border of Germany with Poland?,Oder River
What is the capital of Uruguay?,Montevideo
What is the name of the sea between Australia and New Zealand?,Tasman Sea
What is the capital of Slovakia?,Bratislava
What is the capital of Bosnia and Herzegovina?,Sarajevo
What is the name of the peninsula that contains Spain and Portugal?,Iberian Peninsula
What is the capital of Honduras?,Tegucigalpa
What U.S. state is known as 'The Last Frontier'?,Alaska
What is the capital of Guatemala?,Guatemala City
What country is home to the city of Timbuktu?,Mali
What is the capital of Georgia (the country)?,Tbilisi
What mountain range runs through Romania?,Carpathian Mountains
What is the capital of El Salvador?,San Salvador
What is the capital of Latvia?,Riga
What U.S. state is known for having the most national parks?,California
What is the name of the waterfall that borders Canada and the U.S.?,Niagara Falls
What is the capital of Azerbaijan?,Baku
What is the largest city in South Korea?,Seoul
What is the name of the longest mountain range in North America?,Rocky Mountains
What is the capital of Yemen?,Sana'a
What U.S. state is known as the 'Peach State'?,Georgia
What is the capital of Cyprus?,Nicosia
What country is home to the city of Fez?,Morocco
What is the capital of Kyrgyzstan?,Bishkek
What is the largest desert in Australia?,Great Victoria Desert
What is the capital of Fiji?,Suva
What is the longest river in Canada?,Mackenzie River
What is the capital of Lebanon?,Beirut
What mountain range forms part of the border between Spain and France?,Pyrenees
What is the capital of Papua New Guinea?,Port Moresby
What U.S. state is home to Mount Whitney?,California
What is the capital of Armenia?,Yerevan
What river runs through the city of Budapest?,Danube River
What is the capital of Nicaragua?,Managua
What is the capital of Madagascar?,Antananarivo
What is the name of the region in Africa known for its extensive wildlife and savannas?,Serengeti
What is the capital of the Maldives?,Malé
What is the largest sea in the world by area?,Philippine Sea
What is the capital of Tajikistan?,Dushanbe
What is the official language of Kenya?,Swahili and English
What is the capital of Mozambique?,Maputo
What U.S. state is known as the 'Volunteer State'?,Tennessee
What is the name of the island country off the southeastern coast of Africa?,Madagascar
What is the capital of Qatar?,Doha
What country is home to the city of Lahore?,Pakistan
What is the highest mountain in the Southern Hemisphere?,Aconcagua
What is the capital of Estonia?,Tallinn
What river forms part of the border between Thailand and Laos?,Mekong River
What is the capital of the Bahamas?,Nassau
What country is home to the city of Aleppo?,Syria
What is the capital of Burkina Faso?,Ouagadougou
What is the capital of Trinidad and Tobago?,Port of Spain
What is the main river that flows through Baghdad?,Tigris River
What is the capital of Liberia?,Monrovia
What is the capital of Montenegro?,Podgorica
What is the largest lake in North America?,Lake Superior
What is the capital of Namibia?,Windhoek
What river runs through the city of Cairo?,Nile River
What is the capital of Jordan?,Amman
What is the capital of Uzbekistan?,Tashkent
What U.S. state is home to Denali (formerly known as Mount McKinley)?,Alaska
What is the name of the world's largest coral reef system?,Great Barrier Reef
What is the capital of Chad?,N'Djamena
What country is home to Mount Kilimanjaro?,Tanzania
What is the capital of Ghana?,Accra
What is the largest city in Brazil by population?,São Paulo
What is the capital of Haiti?,Port-au-Prince
What U.S. state is known as the 'Show-Me State'?,Missouri
What is the capital of Moldova?,Chișinău
What is the capital of Cambodia?,Phnom Penh
What is the name of the peninsula shared by Norway and Sweden?,Scandinavian Peninsula
What is the capital of Sierra Leone?,Freetown
What is the name of the strait that separates Alaska from Russia?,Bering Strait
What is the capital of Somalia?,Mogadishu
What is the capital of Zambia?,Lusaka
What is the name of the strait that connects the Mediterranean Sea to the Atlantic Ocean?,Strait of Gibraltar
What is the capital of Georgia (the state)?,Atlanta
What is the capital of Malawi?,Lilongwe
What is the second largest ocean in the world?,Atlantic Ocean
What is the capital of Eritrea?,Asmara
What is the name of the highest mountain in Europe?,Mount Elbrus
What is the capital of Kuwait?,Kuwait City
What U.S. state is known as the 'Bluegrass State'?,Kentucky
What is the capital of Laos?,Vientiane
What is the name of the river that flows through Paris?,Seine River
What country is known as the Land of the Rising Sun?,Japan
What is the capital of Malta?,Valletta
What is the capital of Liechtenstein?,Vaduz
What is the capital of North Macedonia?,Skopje
What is the capital of Gabon?,Libreville
What is the capital of Kazakhstan?,Astana (Nur-Sultan)
What U.S. state is known as the 'Beehive State'?,Utah
What is the capital of Djibouti?,Djibouti
What is the capital of Mauritius?,Port Louis
What country is home to the ancient ruins of Angkor Wat?,Cambodia
